STL,English,Complexity
"always ((pedestrian_in_front)->eventually[0,2] (complete_stop))","When the autonomous vehicle detects a pedestrian in front, it must come to a complete stop within 2 seconds.",non-nested
"always((pedestrian_detected)->eventually[0,3](not (movement)))","If the autonomous vehicle detects a pedestrian crossing the road, it must come to a complete stop within 3 seconds.",non-nested
"always( (light_color == red -> always[0,0](Speed == 0)) and (light_color == green -> eventually[0,5](Speed > 0)) )","The autonomous vehicle must come to a complete stop at every red traffic light, and once the light turns green, it must resume driving within 5 seconds.",non-nested
always(red_light -> eventually(speed == 0)),The autonomous vehicle must come to a complete stop at every red traffic light it encounters before proceeding.,non-nested
"eventually[0,120](always[0,30](p1 > 100))",The pressure p1 should exceed 100 psi continuously for at least 30 seconds within the first 2 minutes.,nested
"always[5,15](x_3 - x_4 >= 5)",The value of signal x_3 must exceed x_4 by at least 5 units during the time period from 5 to 15 time units.,non-nested
"always[2,5](t_temp <= 30) and eventually[1,6](p_pres > 100)","The temperature (signal t_temp) must not exceed 30 degrees Celsius continuously from 2 to 5 hours after the process starts, and pressure (signal p_pres) must be greater than 100 psi at some point between 1 to 6 hours.",non-nested
"always[0,30](p1 > 75) and eventually[35,50](p2 > 60) -> always[0,60](p3 >= 55)","If pressure p1 stays above 75 psi during the first 30 minutes and then pressure p2 exceeds 60 psi anytime between 35 to 50 minutes, pressure p3 must not fall below 55 psi throughout the 60 minutes.",non-nested
"eventually[0,50](p1 > 100) -> always[50,80](v1 <= 200)","If the pressure p1 exceeds 100 units anytime within the first 50 seconds, then the volume v1 must not exceed 200 units for the next 30 seconds.",non-nested
"always[0,30](v > 60 -> eventually[0,15](brake == 1))","Every time the speed v exceeds 60 km/h within the first 30 seconds, it should be followed by activation of the brake signal within the subsequent 15 seconds.",nested
"always[5,15](x_1 > 20 and x_2 <= 80)",The temperature signal x_1 remains consistently above 20 units while the humidity signal x_2 does not exceed 80 units throughout the interval from 5 to 15 time units.,non-nested
"always[0,2](x>1.2) until[2,6](x<=0.8)","The signal x exceeds 1.2 from the beginning until it drops to 0.8 or lower in the interval [2,6].",non-nested
"always[2,6](x_3 < -0.5) -> eventually[3,7](x_4 > 1.0)","Whenever the signal x3 remains below -0.5 throughout the interval [2,6], it implies that the signal x4 must exceed 1.0 at least once between [3,7].",non-nested
"always[0,20](P1 >= 25) and eventually[20,50](V1 < 15) -> always[50,90](P1 >= 30)","If the pressure P1 remains at least 25 psi for the first 20 seconds and the volume V1 drops below 15 liters at least once within the subsequent 30 seconds, then the system must ensure that pressure P1 is not lower than 30 psi in the following 40 seconds.",non-nested
"always[0,50](v > 60) -> (eventually[50,100](f < 10) or always[50,100](t <= 100))","If the average speed v between time 0 and 50 remains above 60 km/h, then either the fuel level f will drop below 10 liters at least once between time 50 and 100, or the engine temperature t will not exceed 100 degrees throughout the same period.",non-nested
"always[2,6](temperature > 30) and eventually[8,8](temperature < 25)",The temperature signal stays continuously above 30 degrees from time 2 to time 6 and then dips below 25 degrees exactly at time 8.,non-nested
"always[0,10](p_1 < 30) and eventually[0,10](always[0,5](t_1 > 50)) -> always[10,25](h_1 > 20)","When the pressure p1 is less than 30 units during the first 10 minutes, if concurrently within this period, the temperature t1 exceeds 50 degrees for at least a continuous 5-minute duration, then the humidity h1 will be maintained above 20% throughout the next 15 minutes.",nested
"always[2,5](x_3 > 0.5) -> always[1,3](x_4 > 0.8)","Whenever signal x_3 remains above 0.5 for the entire duration between seconds 2 and 5, the signal x_4 must consistently be above 0.8 from seconds 1 to 3.",non-nested
"always[0,20](p > 50) and eventually[20,25](v < 30) -> always[25,35](v < 20)","If the pressure p remains above 50 units continuously for at least the next 20 seconds, and then the volume v drops below 30 units within the subsequent 5 seconds, it should then stay below 20 units for the next 10 seconds.",non-nested
"always[0,10](x_1 < 0.5) and ((x_1 > 0.5) -> eventually[2,4](x_3 > 0.8))","The signal x_1 is always less than 0.5 during the first 10 time units, and the signal x_3 must rise above 0.8 within 2 to 4 units after x_1 goes above 0.5.",non-nested
"always[0,20](x_1 > 15) -> always[5,10](y_1 >= 30)","Within the time interval 0 to 20, if the temperature (x_1) consistently exceeds 15 degrees, then the humidity (y_1) must not fall below 30% at any point between 5 and 10 units after.",non-nested
"eventually[5,15](x3 > 0.5) and always[10,20](x4 >= -0.3)","The signal x3 exceeds 0.5 at least once between time 5 and 15, while signal x4 never drops below -0.3 throughout the time interval from 10 to 20.",non-nested
"always[2,6](x_3 == 10) -> eventually[3,7](x_5 > 15)","The signal x3 remains constant at 10 during the interval [2,6], and this implies that signal x5 is greater than 15 at any point between [3,7].",non-nested
"always[50,100](x1 < 0.3 -> eventually[2,4](x3 > 1.2))","Within the time interval [50,100], the occurrence of signal x1 dropping below 0.3 should consistently lead to signal x3 exceeding 1.2 within the subsequent 2 to 4 time units.",nested
"eventually[5,25](v1 > 10) -> always[10,30](i1 < 0.2)","If the voltage v1 exceeds 10 volts at any time between 5 and 25 minutes, it implies the current i1 will remain below 200 mA continuously from 10 to 30 minutes.",non-nested
"always(p1 > 70 -> eventually[0,150](always[0,30](v >= 25)))","Whenever the pressure p1 exceeds 70 units, within the following 150 time units, the average speed v should not fall below 25 units for any 30 consecutive units of time.",nested
"eventually[0,10](v1 > 60) -> always[10,30](v1 >= 30)","If the velocity v1 exceeds 60 m/s within the first 10 seconds, then it should not drop below 30 m/s over the next 20 seconds.",non-nested
"always[50,150]((x_1 < 0.5) or eventually[2,4](x_3 > 0.8))","Throughout the duration of 50 to 150 time units, signal x_1 must always be less than 0.5 or else signal x_3 must rise above 0.8 within 2 to 4 time units afterward.",non-nested
"always[5,15](x > 8) and eventually[15,20](x < 3)","From 5 to 15 seconds, the concentration level x maintains above 8 units and then drops below 3 units within the subsequent 5 seconds.",non-nested
"always[0,200](x_3>0.5) -> eventually[10,20](x_4>0.8)","Whenever signal x_3 remains above 0.5 during the initial 200 time units, subsequently, signal x_4 should exceed 0.8 at least once within the following 10 to 20 time units.",non-nested
"always[0,10](temp>20) -> eventually[1,2](p>30)","Whenever the temperature signal (temp[t]) remains above 20 degrees for a continuous period between 0 and 10 time units, it should be followed by the pressure signal (p[t]) exceeding 30 psi within the next 1 to 2 time units.",non-nested
"always[0,50](p1 < 30) and eventually[50,70](p1 > 45)","The pressure p1 remains strictly below 30 units from starting until 50 seconds, and then it must exceed 45 units within the next 20 seconds.",non-nested
"always[2,6](x1 < 10) <-> eventually[0,3](x2 == 5)","The signal x1 must consistently be less than 10 for the duration between 2 and 6 seconds if and only if at some point between 0 and 3 seconds, signal x2 is exactly 5.",non-nested
"always[0,100](z1 + z2 < 50 -> always[0,40](z3 > 25))","If during any 100 second interval, the sum of signals z1 and z2 is less than 50, then z3 must remain above 25 for the subsequent 40 seconds.",nested
"always(c1 > 100 -> always[0,15](p1 <= 500))","Whenever the concentration c1 exceeds 100 units, the pressure p1 must not exceed 500 units for any time within the next 15 minutes.",non-nested
"eventually[2,6](T > 35)",Temperature signal T crosses above 35 degrees within the first 2 to 6 hours.,non-nested
"always[0,30](p_1 < 20) -> (always[25,50](T_1 > 100) or eventually[30,60](H_1 > 60))","Whenever the pressure p_1 remains steadily below 20 psi for a continuous span from time 0 to 30, it should be followed by either the temperature T_1 maintaining above 100 degrees from 25 to 50 time units or the humidity H_1 rising above 60% between 30 and 60 time units.",non-nested
"always[50,150]((y_3 > 0.5) and (y_4 <= 0.3))","Signal y_3 must remain above 0.5 throughout the entire interval from 50 to 150 units, and simultaneously, signal y_4 must not exceed 0.3 in the same interval.",non-nested
"always[2,5](x_1 > 10) and eventually[0,4](x_3 < -5)","The signal x1 remains consistently above 10 from time 2 to 5, whereas signal x3 drops below -5 at least once between time 0 and 4.",non-nested
"eventually[0,30](p_1 > 75) -> always[10,50](p_2 <= 60)","Whenever pressure p1 exceeds 75 psi initially for up to 30 seconds, then pressure p2 must not exceed 60 psi at any time between 10 and 50 seconds after that.",non-nested
"eventually[0,60](always[0,20](p1 > 100)) -> eventually[60,90](always[0,5](v1 > 50))","If the pressure p1 stays above 100 units for at least 20 seconds within the next minute, then it must be that within the following 30 seconds, vibration v1 exceeds 50 units for at least 5 consecutive seconds.",nested
"always[0,5](v_1 > 30) -> eventually[2,7](a_1 < -5)","Whenever the speed v_1 is consistently above 30 units from time 0 to 5, there must be a moment between 2 to 7 seconds where acceleration a_1 drops below -5 units.",non-nested
"always[0,50](p_1 > 700) and always[0,50](v_1 <= 300) -> always[50,80](p_1 >= 650)","If the pressure p1 exceeds 700 kPa continuously from the start for at least 50 seconds, and during the same interval, vibration v1 does not exceed 300 units, then it must be true that within the next 30 seconds following this interval, pressure p1 will not drop below 650 kPa.",non-nested
"always[0,20](T > 25)",The temperature signal T remains above 25 degrees from time 0 to 20 units continuously.,non-nested
"always[0,10](v_1 < 30) -> always[8,12](p_1 > 20)","Whenever the speed v_1 remains below 30 m/s within the first 10 seconds, it is necessary that pressure p_1 be above 20 Pa between 8 and 12 seconds.",non-nested
"always[2,6](x1 == 10) and always[2,6](x2 <= 20)","The signal x1 remains exactly at 10 without deviating for the whole period between time 2 to 6, while the signal x2 never exceeds 20 during the same interval.",non-nested
"always[0,20]((x_1 + x_2) < 5)",The sum of signals x_1 and x_2 is less than 5 at all times during the first 20 time units.,non-nested
"always(p_1 > 100 -> eventually[5,10](v_1 < 8))","Every time pressure p1 exceeds 100 units, the volume v1 must be below 8 units within the next 5 to 10 seconds.",non-nested
"always[0,50](p_1 > 70) -> eventually[60,120](v_1 == open)","If the pressure p1 exceeds 70 psi continuously from the start and for the next 50 seconds, then the valve v1 must open between 60 and 120 seconds later.",non-nested
"always[0,30](V > 5) -> (eventually[30,90](I > 0.01) or always[30,90](T >= 40))","As long as the voltage V remains above 5 volts for the first 30 seconds, either the current I will exceed 10 milliamps during the next 60 seconds, or temperature T must not fall below 40 degrees throughout those seconds.",non-nested
"always[0,5](v1 > 20) and always[2,6](a1 < 5)","Every moment from 0 to 5 seconds, the velocity v1 exceeds 20 m/s, and simultaneously, within the interval from 2 to 6 seconds, acceleration a1 is less than 5 m/s².",non-nested
"always[0,5](v1 > 10) -> always[10,20](i1 > 3)","If the voltage v1 stays above 10 volts during the first 5 seconds, it implies that the current i1 will exceed 3 amperes continually over the subsequent 10 to 20 seconds.",non-nested
"always[5,15]((p >= 12) and (v <= 50))","From time 5 to time 15, the pressure p must not drop below 12 units while simultaneously the volume v should not exceed 50 units.",non-nested
"eventually[0,20](always[0,5](p2 > 300)) -> always[20,60](p1 >= 500)","The pressure p1 must be at least 500 between 20 and 60 seconds, provided that during the first 20 seconds, the pressure p2 exceeds 300 for at least 5 seconds continuously.",nested
"always[100,200](z>0.3) and eventually[500,600](always[0,30](z>0.8))","The signal z must remain above 0.3 for a continuous period from 100 to 200 time units, and at some point between 500 to 600 time units, it should exceed 0.8 for at least 30 consecutive units.",non-nested
"always(p1 > 30 -> eventually[2,5](v1 > 5))","Whenever pressure p1 rises above 30 psi, then subsequently within 2 to 5 seconds, vibration v1 should exceed 5 units.",nested
"eventually[0,50](always[0,10](v1 > 60)) -> always[0,60](a1 <= 20)","If velocity v1 exceeds 60 m/s before 50 seconds have elapsed and continues to do so for at least 10 consecutive seconds, then acceleration a1 must not exceed 20 m/s^2 for any moment during the first 60 seconds.",nested
"always[2,5](x_3 < -1) -> eventually[6,8](x_4 > 2)","If signal x3 remains below -1 from t=2 to t=5, it must result in signal x4 exceeding 2 sometime between t=6 and t=8.",non-nested
"always[10,20](x_5 < 10) and eventually[20,30](x_5 > 20)","The signal x_5 remains continuously below 10 during the interval [10,20], and immediately afterwards, it exceeds 20 at least once between 20 and 30.",non-nested
"always[15,40](x_3 < 5)",The signal x_3 remains below 5 units from time 15 to 40 seconds.,non-nested
"always(p1 > 100 -> eventually[20,40](always[0,5](h1 > 90)))","Every time the pressure p1 surpasses 100 units, it must be followed within the next 20 to 40 seconds by the humidity h1 rising above 90% and staying there for at least 5 consecutive seconds.",nested
"always[100,900](x>10 or (x<8 -> eventually[0,25](always[0,5](x>10))))","During the period from 100 to 900 time units, signal x shall be above 10 unless it drops below 8, in which case it returns above 10 within the next 25 time units and stays above 10 for a minimum of 5 consecutive time units.",nested
"always[100,200](x_3>0.5) -> always[0,150](not (x_4>1.0))","Whenever the value of signal x_3 remains above 0.5 for the entire duration from 100 to 200 units, it is ensured that signal x_4 will not exceed 1.0 at any time from 0 to 150 units.",non-nested
"eventually[0,50](p_1 > 100) -> always[0,30](v_1 >= 20)","If at any time between 0 and 50 seconds the pressure p1 exceeds 100 units, then for the entire duration from 0 to 30 seconds, the volume v1 must not drop below 20 units.",non-nested
"always(p1 > 50 -> eventually[0,20] (always[0,10](p1 < 45)))","Every time the pressure p1 surpasses 50 units, it must fall below 45 units within the next 20 seconds and remain less than 45 for at least 10 consecutive seconds.",nested
"eventually[0,30](p1 > 70) -> eventually[0,60](always[0,10](p2 < 40))","If the pressure p1 goes above 70 units any time between now and 30 seconds, then the pressure p2 must remain below 40 units continuously for at least 10 seconds within the next minute.",non-nested
"always[0,60](p > 100 -> eventually[0,30](p < 80))","Every time the pressure p exceeds 100 units within the next 60 seconds, it should subsequently return to normal, defined as below 80 units, within the next 30 seconds.",nested
"always[0,10](p_1 > 120) -> eventually[10,15](v_1 == open)","If the pressure p_1 exceeds 120 psi continuously over the next 10 minutes, then the valve v_1 must open within the subsequent 5 minutes.",non-nested
"eventually[2,6](x_3 > 10) and always[6,8](x_4 < 3)","The signal x3 exceeds 10 at least once between times 2 and 6, and thereafter, signal x4 remains below 3 until time 8.",non-nested
"always[0,10](((20 <= p_1) and (p_1 <= 30))) -> always[10,30](f_1 <= 40)","If the pressure p_1 remains within the range [20, 30] psi for the entire duration [0,10] seconds, then the fluid flow rate f_1 should not exceed 40 L/min at any time during the subsequent [10,30] seconds.",non-nested
"always[0,100]((z>10) -> eventually[0,50](always[0,30](z<5)))","Whenever signal z exceeds 10 during the first 100 time units, it should drop below 5 within the next 50 time units and remain under this threshold for at least 30 time units.",non-nested
"always[50,200](x_3 <= 0.5 -> eventually[2,4](x_4 <= 0.3))","Between time units 50 and 200, the value of signal x_3 should not exceed 0.5 followed by signal x_4 not exceeding 0.3 within the next 2 to 4 units.",nested
"always[0,50](x_1 < 15) and eventually[60,120](x_1 > 30)","The signal x_1 will remain below 15 for at least the first 50 seconds, and then surpass 30 at least once between 60 and 120 seconds.",non-nested
"always[10,20](y>2.0) -> always[22,30](y>2.5)","Whenever signal y remains above 2.0 during the interval from 10 to 20 seconds, it should be above 2.5 from 22 to 30 seconds.",non-nested
"always[0,50](v <= 30) and always[50,70](v >= 10)","Every voltage level v must not exceed 30 volts during the initial 50 seconds, and should not drop below 10 volts in the next 20 seconds.",non-nested
"eventually[0,60](always[0,60](p1 > 30) and eventually[0,60](p2 < 15)) -> eventually[0,90](always[0,40](p3 > 50))","If there is a period of 60 seconds during which pressure p1 exceeds 30 units and at least once in that interval, p2 drops below 15 units, then it must be followed within 90 seconds by p3 maintaining a level above 50 units for at least 40 seconds.",nested
"eventually[0,30](v_1 > 20) and eventually[0,20](always[0,5](s_1 < 50)) -> always[0,40](l_1 <= 500)","Once speed v1 increases beyond 20 m/s between 0 and 30 seconds, and if sound level s1 drops below 50 dB for at least 5 seconds within the first 20 seconds, then light intensity l1 must not exceed 500 lux continuously for the next 40 seconds.",nested
"always[0,60](p1 < 100) and always[60,120](p2 <= 200)","The pressure p1 must stay below 100 units for the entire duration of the first 60 seconds, and subsequently, the pressure p2 should not exceed 200 units at any time between 60 to 120 seconds.",non-nested
"always[0,50](x_3 > 0.5 -> always[10,20](x_3 > 0.3))","Whenever signal x3 exceeds 0.5 during the first 50 time units, it must remain above 0.3 for the following 10 to 20 units.",nested
"always[100,150](abs(z) <= 10) -> eventually[100,200](always[0,30](x > 20))","From time unit 100 to 150, the absolute value of the signal z does not exceed 10, and subsequently, within 100 to 200 units from that, signal x will surpass 20 and remain above it for at least 30 consecutive units.",non-nested
"always[50,200](t_1 < 15) and always[50,200](h_1 > 80) -> eventually[150,300](l_1 > 500)","Whenever the temperature t_1 remains below 15 degrees Celsius during the entire duration from time 50 to time 200, and humidity h_1 is consistently above 80% during the same period, then the light intensity l_1 must exceed 500 lux at least once between time 150 and time 300.",non-nested
"always[0,50](p1 < 25) -> eventually[60,120](p2 > 40)","If the pressure p1 is consistently below 25 units during the first 50 time units, then the pressure p2 should exceed 40 units at least once between 60 and 120 time units afterward.",non-nested
"always[0,50](p_1 > 40) -> eventually[60,120](p_2 < 10)","If the pressure p1 consistently exceeds 40 units during the initial 50 seconds, then the pressure p2 must decrease to below 10 units for at least one moment between 60 and 120 seconds afterwards.",non-nested
"always[0,200](p1 > 50) -> eventually[20,30](v1 > 10)","If, during the first 200 seconds, the pressure p1 remains consistently above 50 units, then within 20 to 30 seconds thereafter, the volume v1 should exceed 10 cubic meters.",non-nested
"always[0,50](p1 < 25) -> (eventually[60,120](f1 > 10) or always[70,130](t3 < 15))","If the pressure p1 remains below 25 units from time 0 to 50, then either the flow rate f1 should exceed 10 units in the interval from 60 to 120 seconds, or the temperature t3 should stay below 15 units from 70 to 130 seconds.",non-nested
"always[0,30](x_3 < -0.5) or eventually[0,30](x_4 > 1.2)",The signal x_3 maintains a value less than -0.5 for at least the next 30 seconds or signal x_4 exceeds 1.2 within the same time frame.,non-nested
"eventually[5,15](x_3 + x_4 > 10) -> eventually[15,25](x_5 > 20)","If the sum of signals x_3 and x_4 leaps above 10 within 5 to 15 seconds, it must be followed by x_5 exceeding 20 at some point between 15 to 25 seconds.",non-nested
"always[5,15](v > 5)",The velocity signal v must remain above 5 between 5 and 15 seconds.,non-nested
"always[5,10](x_1 < 0)",The signal x_1 will always be negative within the next 5 to 10 seconds.,non-nested
"always[15,45](p_1 > 120) and eventually[15,45](v_1 < 30) -> always[0,60](t_1 <= 100)","If the pressure p_1 consistently exceeds 120 units for the duration between 15 and 45 minutes, and if during the same interval the volume v_1 decreases to below 30 units at any point, then the temperature t_1 should not exceed 100 units at any moment in the first 60 minutes.",non-nested
"always[10,20](p_1 > 80) -> eventually[30,50](f_1 > 100)","If the pressure p1 exceeds 80 units continuously over the interval [10,20], then the flow rate f1 must exceed 100 units at least once within the following 30 to 50 seconds.",non-nested
"always[0,20](v1 < 10) and eventually[5,15](i1 > 0.5) -> always[10,30](p1 <= 5)","If the voltage v1 remains under 10 volts for the duration [0,20], and simultaneously the current i1 exceeds 0.5 amps at least once between [5,15], then the power p1 must not exceed 5 watts anywhere in the range [10,30].",non-nested
"always[0,10](v < 5) -> always[10,40](v <= 10)","Whenever the velocity v remains below 5 m/s throughout the first 10 seconds, it must not exceed 10 m/s for any moment during the subsequent 30 seconds.",non-nested
"always[0,10](p1 > 120) and always[0,10](p2 >= 80)","The pressure p1 must exceed 120 units for the first 10 seconds, while the pressure p2 must not drop below 80 units during the same time period.",non-nested
"always[0,300](p1 > 80) and eventually[0,300](v1 < 5)","The pressure p1 must exceed 80 psi continuously for at least 5 minutes, and within this time frame, vibration v1 has to stay below 5 units at least once.",non-nested
"always[100,200]((x_1 + x_2) <= 50) and always[120,180]((abs(x_1 - x_2) > 10) -> eventually[0,25](abs(x_1 - x_2) < 5))","For every time unit between 100 and 200, the sum of signals \( x_1 \) and \( x_2 \) cannot exceed 50. Simultaneously, if at any point between 120 and 180 time units the difference between \( x_1 \) and \( x_2 \) exceeds 10, it must rectify to less than 5 within the next 25 time units.",non-nested
"always[2,8](x_3 > 0.5) -> (eventually[4,9](x_4 > 0.3) or always[3,7](x_6 < 0.1))","When signal x_3 remains above 0.5 during the interval [2, 8], it is necessary that either signal x_4 exceed 0.3 in the interval [4, 9] or signal x_6 drops below 0.1 throughout the interval [3, 7].",non-nested
"always[0,15](v > 10) until[15,20](v < 5)","The signal v must remain above 10 for at least the next 15 seconds, followed by falling below 5 within the subsequent 5 seconds.",non-nested
"always(p1 < 20 -> eventually[0,5](p1 > 30))","Whenever the pressure p1 falls below 20 psi, it will immediately rise above 30 psi within the next 5 minutes.",nested
"always[10,30](p1 > 100) -> (eventually[15,35](p2 > 150) -> always[0,40](p3 <= 200))","The pressure p1 exceeds 100 units continuously from time 10 to 30, and if the pressure p2 exceeds 150 units at any point between time 15 to 35, then the pressure p3 must not exceed 200 units continuously from time 0 to 40.",non-nested
"always[0,10](p_1 < 30) -> eventually[5,15](p_2 > 40)","If the pressure p1 stays below 30 units from time 0 to 10, then the pressure p2 must exceed 40 units at least once between time 5 and 15.",non-nested
"always[0,10](P1 > 30) -> eventually[5,10](H1 >= 70)","If the pressure P1 is consistently above 30 units during the first 10 minutes, then it is always followed by the humidity H1 reaching 70% or more within the next 5 to 10 minutes.",non-nested
"always[2,4](p1 > 100) -> eventually[5,7](v1 == open)","If the pressure p1 exceeds 100 units for all times between 2 and 4 seconds, then the valve v1 should open at least once between 5 and 7 seconds.",non-nested
"always[2,5](x_3 <= 10) and always[2,5](x_4 < -2)","The signal x3 never exceeds 10 during the interval [2,5], while simultaneously signal x4 is always less than -2.",non-nested
"always[30,60](p_1 > 20) and eventually[0,60](always[0,5](v_1 > 10)) -> always[60,90](v_2 <= 15)","If pressure p1 remains consistently above 20 psi for the entire duration between 30 to 60 seconds and concurrently, vibration v1 exceeds 10 units for at least any 5-second period within the first minute, then vibration v2 must not exceed 15 units at any time in the next 30 seconds.",nested
"always[0,300](p1>100) -> (eventually[0,120](v1<50) or eventually[0,600](t1>95))","If the pressure p1 is consistently above 100 units within the next 5 minutes, it implies that either the volume v1 will decrease to less than 50 units at least once in the subsequent 2 minutes, or the temperature t1 will exceed 95 degrees within 10 minutes.",non-nested
"always[0,100]((x_3>5)->eventually[10,20](x_4>15))","Within the first 100 time units, whenever the value of signal x_3 exceeds 5, then within the next 10 to 20 units, the value of signal x_4 must be over 15.",non-nested
"always[100,800](x <= 50 and (t > 100 -> eventually[0,50](t < 80)))","From 100 to 800 time units, the voltage level x must not exceed 50 volts, and whenever the temperature signal t exceeds 100 degrees, it must fall below 80 degrees within the next 50 time units.",nested
"always[50,150]((v1 > 10) -> eventually[5,7](i1 > 2))","For any time between 50 to 150 seconds, whenever the voltage v1 exceeds 10 volts, the current i1 should exceed 2 amperes within 5 to 7 seconds.",non-nested
"always[0,30](p1 < 200) -> (eventually[0,60](h2 > 80) or always[0,60](t3 <= 40))","If pressure p1 remains below 200 units consistently for the first 30 seconds, then either humidity h2 should exceed 80% within 60 seconds or temperature t3 should not go above 40 degrees during the same interval.",non-nested
"always[2,8](v_3 > 10) -> (eventually[4,9](p_6 > 15) or always[3,10](q_7 < 5))","Whenever the value of v_3 remains above 10 throughout the interval [2,8], it should imply that p_6 will surpass 15 at some point within [4,9], or else q_7 must be consistently below 5 throughout [3,10].",non-nested
"always[0,10](v_1 > 10 and i_1 <= 5) -> eventually[20,30](t_1 > 100)","When the voltage v_1 remains above 10V throughout a 10-second period, and during the same interval, the current i_1 does not exceed 5A, it should be followed by a temperature increase t_1 above 100 degrees Celsius within the next 20 to 30 seconds.",non-nested
"always[10,50](p1 <= 100) and eventually[20,60](v1 <= 3)","The pressure p1 should not exceed 100 psi continuously from the 10th second to the 50th second, and the level v1 must be less than or equal to 3 meters at any time between the 20th second and the 60th second.",non-nested
"always[0,100](always[0,20](p_1 > 25) -> eventually[10,30]((p_2 > 50) and (p_3 < 10)))","During a 100-second interval, if the pressure p1 stays above 25 for the first 20 seconds, then it should be followed by p2 exceeding 50 and p3 dropping below 10 simultaneously within the next 10 to 30 seconds.",nested
"always[10,20]((x_1<0.5) -> always[1,2](x_3<=1.2))","Whenever signal x_1 is below 0.5 between 10 and 20 seconds, signal x_3 must not exceed 1.2 in the subsequent 1 to 2 seconds.",non-nested
"always[0,8](x_1 < 5) -> eventually[2,6](y_1 > 80)","Whenever the temperature x_1 remains below 5 degrees during the first 8 hours, there should be at least one occurrence where humidity y_1 exceeds 80% between hours 2 and 6.",non-nested
"always(x_3 < 5) until[10,20](x_3 > 7)",The signal x_3 remains below 5 until it eventually exceeds 7 between 10 and 20 seconds.,non-nested
"always[0,100](v <= 50) and always[100,130](a < 0)","The velocity v does not exceed 50 units at any point during the first 100 seconds, and the acceleration a always stays negative in the subsequent 30 seconds.",non-nested
"always[0,10](p_1 < 5) -> eventually[10,15](v_1 > 20)","Whenever the pressure p_1 remains below 5 units from now until the next 10 minutes, it must be followed by the vibration level v_1 exceeding 20 units within the subsequent 5 minutes.",non-nested
"always[2,5](p_1 > 100) <-> eventually[0,6](f_1 < 50)","The pressure signal p1 maintains a value above 100 units continuously between 2 and 5 seconds, which is equivalent to the flow signal f1 dropping below 50 units at any moment within the first 6 seconds.",non-nested
"always[0,300](v1 <= 60)",The speed of vehicle v1 should not exceed 60 km/h during the first 5 minutes of operation.,non-nested
"always[2,7](y>-0.2 and y<0.3)",The signal y remains strictly between -0.2 and 0.3 from time 2 to time 7.,non-nested
"eventually[0,30](always[0,5](v > 20))",The velocity v remains above 20 m/s for at least 5 consecutive seconds during the first 30 seconds.,nested
"always[0,50](p_1 > 100) -> (eventually[45,90](v_1 > 30) or always[70,100](t_3 < 80))","Whenever the pressure p1 stays above 100 units from now until 50 seconds, it should hold that either the vibration level v1 will exceed 30 units at least once between 45 and 90 seconds, or the temperature t3 will consistently be below 80 degrees from 70 to 100 seconds.",non-nested
"always[0,4](t1 < 23) -> eventually[2,6](h1 > 80)","Whenever the temperature (signal t1) remains below 23 degrees from time 0 to 4, we can expect humidity (signal h1) to rise above 80% at some point between time 2 and 6.",non-nested
"always[0,500]((x_3<0.2) -> eventually[1,2](x_4>0.8))","For the entire duration of 0 to 500 time units, whenever signal x_3 remains below 0.2, signal x_4 must exceed 0.8 within the subsequent 1 to 2 time units.",non-nested
"eventually[0,50](p_1 > 30) -> eventually[10,20](p_2 < 15)","If the pressure p1 exceeds 30 units at any moment during the first 50 seconds, then it guarantees that within a following duration of 10 to 20 seconds, the pressure p2 must fall below 15 units.",non-nested
"always[0,500]((T>40) -> eventually[0,50](always[0,10](T<25)))","Within the first 500 time units, if the temperature signal T exceeds 40 degrees, it must then drop below 25 degrees within the next 50 time units and remain below that threshold for at least 10 consecutive time units.",non-nested
"always[2,5](x_3 < -2) <-> eventually[3,6](x_4 > 3)","Every value of signal x3 remains less than -2 within the entire duration of [2,5] if and only if signal x4 eventually exceeds 3 at least once between [3,6].",non-nested
"always[0,500]((p>10) -> always[20,40](q<=5))","Within the first 500 seconds, whenever signal p exceeds 10 units, signal q must not exceed 5 units within the subsequent 20 to 40 seconds.",non-nested
"always[0,100]((x_1<0.35) -> eventually[2,4](x_2>0.6))","Whenever signal x_1 is below 0.35 between 0 and 100 time units, signal x_2 must be above 0.6 within the next 2 to 4 time units.",non-nested
"always[50,120](p1 > 80) -> eventually[50,70](v1 < 15)","If the pressure p1 exceeds 80 units continuously from 50 to 120 seconds, then voltage v1 will be less than 15 volts between 50 to 70 seconds later.",non-nested
"always[0,10](z_3 > 30) -> (eventually[0,20](p_1 > 15) or always[10,40](p_2 >= 3))","Whenever z_3 stays above 30 degrees Celsius during the initial 10 seconds, it implies that either p_1 will exceed 15 psi within 20 seconds or p_2 will not fall below 3 psi throughout the subsequent 30 seconds.",non-nested
"always[0,100](x_1<0.5) and eventually[200,300](x_3>0.2)","The signal x_1 should always remain below 0.5 during the first 100 time units, and signal x_3 must exceed 0.2 between 200 and 300 time units.",non-nested
"always[0,120](always[0,10](temperature <= 30))",The temperature signal must not exceed 30 degrees for at least 10 consecutive time units starting from any moment within the first 2 hours.,nested
"always[0,10](x_3<0.5) and eventually[20,30](x_4>1.2)","The signal x_3 remains under 0.5 throughout the first 10 time units, and signal x_4 exceeds 1.2 at least once within 20 to 30 time units.",non-nested
